name,sex,tot
Aaliyah,F,78778
Aaron,M,563505
Abbey,F,14602
Abbie,F,13206
Abbigail,F,9799
Abby,F,53921
Abel,M,43572
Abigail,F,342533
Abraham,M,79075
Abram,M,11209
Abril,F,6068
Ace,M,5675
Ada,F,61468
Adalyn,F,14706
Adalynn,F,13328
Adam,M,539368
Adan,M,23566
Addie,F,26118
Addison,M,8122
Addison,F,109795
Addisyn,F,7045
Addyson,F,13416
Adela,F,8316
Adelaide,F,17184
Adele,F,29682
Adelina,F,7504
Adeline,F,41858
Adelyn,F,11687
Adelynn,F,6380
Aden,M,16812
Adolfo,M,12914
Adolph,M,12372
Adonis,M,5826
Adrian,M,220665
Adrian,F,11202
Adriana,F,84017
Adrianna,F,41435
Adrianne,F,9245
Adriel,M,8803
Adrienne,F,62002
Agnes,F,114886
Agustin,M,11859
Ahmad,M,14533
Ahmed,M,11174
Aida,F,9128
Aidan,M,105590
Aiden,M,183177
Aileen,F,27532
Aimee,F,49462
Ainsley,F,12846
Aisha,F,18635
Aiyana,F,6312
Aja,F,5665
Al,M,11628
Alaina,F,35122
Alan,M,342006
Alana,F,50853
Alani,F,5193
Alanna,F,17593
Alayna,F,23158
Albert,M,441925
Alberta,F,58112
Alberto,M,56066
Alden,M,8133
Aldo,M,12637
Aleah,F,10680
Alec,M,47284
Alecia,F,8218
Aleena,F,6797
Alejandra,F,47420
Alejandro,M,127130
Alena,F,8893
Alessandra,F,15324
Alessandro,M,6024
Alex,F,5978
Alex,M,260501
Alexa,F,116718
Alexander,M,640080
Alexandra,F,226162
Alexandrea,F,6350
Alexandria,F,93702
Alexia,F,40163
Alexis,M,59604
Alexis,F,332540
Alexus,F,17285
Alfonso,M,34441
Alfred,M,222150
Alfreda,F,7453
Alfredo,M,50166
Ali,F,7185
Ali,M,22309
Alia,F,7086
Alice,F,477874
Alicia,F,220950
Alijah,M,7228
Alina,F,25558
Aline,F,8895
Alisa,F,30384
Alisha,F,53210
Alison,F,108170
Alissa,F,34916
Alivia,F,24021
Aliya,F,6685
Aliyah,F,34679
Aliza,F,6039
Allan,M,89122
Allen,M,258341
Allene,F,5237
Allie,F,37113
Allison,F,289256
Ally,F,7595
Allyson,F,47534
Alma,F,124986
Alondra,F,35905
Alonso,M,7628
Alonzo,M,33985
Alphonse,M,6727
Alphonso,M,11159
